student_name,student_id,education_qualification,skills,certifications,projects,job_role,salary_expectation,experience_years,location_preference
Kiran Das,S106,BBA,"Python, Excel",Data Science with R,Student Portal,Marketing Executive,550000.0,,
Ankit Mehta,S091,BBA,"Data Analytics, Power BI",Leadership Basics,Data Dashboard,Data Analyst,500000.0,4.0,Mumbai
Kiran Das,S079,BBA,"Python, Excel",Excel Basics,AI Chatbot,Business Analyst,700000.0,0.0,Hyderabad
Arjun Rao,S496,M.Tech AI,"Management, Excel",Data Science with R,E-commerce Website,Software Developer,900000.0,2.0,Remote
Neha Gupta,S312,BCA,"Python, ML, SQL",Google Data Analytics,E-commerce Website,Data Scientist,800000.0,2.0,Bangalore
Neha Gupta,S118,MCA,"AI, ML, Python",AWS Cloud Practitioner,Sales Forecasting,Software Developer,600000.0,2.0,Mumbai
Neha Gupta,S084,B.Tech ECE,"Data Analytics, Power BI",Python for Everyone,Student Portal,Software Developer,700000.0,2.0,Remote
Rahul Verma,S382,MBA,,Digital Marketing,Customer Retention,Data Scientist,500000.0,4.0,
Amit Kumar,S156,MCA,"Python, Excel",Digital Marketing,E-commerce Website,Marketing Executive,800000.0,2.0,Remote
Ankit Mehta,S150,M.Sc Data Science,"Marketing, Sales",Azure Fundamentals,Customer Retention,AI Engineer,450000.0,4.0,Pune
Priya Sharma,S033,B.Sc IT,"C++, HTML, CSS",Data Science with R,Student Portal,Data Scientist,600000.0,,Jaipur
Sneha Patel,S164,M.Tech AI,"Management, Excel",Data Science with R,E-commerce Website,HR Analyst,350000.0,,Mumbai
Kiran Das,S076,B.Sc IT,"Python, ML, SQL",Java Foundations,AI Chatbot,Data Analyst,500000.0,3.0,Remote
Meena Rani,S321,BCA,"React, Node.js",Data Science with R,Student Portal,Data Analyst,400000.0,0.0,Remote
Meena Rani,S230,BCA,"C++, HTML, CSS",Google Data Analytics,E-commerce Website,HR Analyst,,1.0,Kolkata
Meena Rani,S069,B.Tech ECE,"AI, ML, Python",Digital Marketing,Web Scraper,HR Analyst,900000.0,3.0,Chennai
Sneha Patel,S341,B.Tech ECE,"React, Node.js",Python for Everyone,E-commerce Website,Data Analyst,900000.0,,Kolkata
Ankit Mehta,S064,B.Tech ECE,"Python, Excel",Digital Marketing,Market Analysis,HR Analyst,500000.0,,Jaipur
Rahul Verma,S232,B.Tech CSE,"Java, Spring",Google Data Analytics,Market Analysis,Marketing Executive,350000.0,3.0,Pune
Priya Sharma,S495,B.Tech ECE,"Data Analytics, Power BI",Excel Basics,AI Chatbot,Web Developer,400000.0,3.0,Jaipur
Sneha Patel,S466,BBA,"C++, HTML, CSS",,,Web Developer,450000.0,0.0,Jaipur
Neha Gupta,S451,M.Sc Data Science,"Data Analytics, Power BI",Excel Basics,Student Portal,Data Scientist,400000.0,4.0,
Neha Gupta,S242,MCA,"Marketing, Sales",Leadership Basics,,Full Stack Developer,550000.0,3.0,Kolkata
Meena Rani,S034,B.Sc IT,"React, Node.js",Leadership Basics,AI Chatbot,Business Analyst,,,Mumbai
Neha Gupta,S408,B.Sc IT,"Cloud, DevOps",Digital Marketing,,Software Developer,600000.0,4.0,Ahmedabad
Priya Sharma,S285,M.Tech AI,"Management, Excel",Google Data Analytics,Data Dashboard,Data Analyst,450000.0,1.0,Delhi
Sneha Patel,S001,M.Sc Data Science,"React, Node.js",AWS Cloud Practitioner,Sales Forecasting,Marketing Executive,450000.0,1.0,Remote
Amit Kumar,S012,B.Com,"C++, HTML, CSS",Java Foundations,Library Management,AI Engineer,500000.0,3.0,Kolkata
Rahul Verma,S276,BBA,"Python, Excel",Java Foundations,,Business Analyst,700000.0,3.0,Pune
Neha Gupta,S023,BCA,"C++, HTML, CSS",AWS Cloud Practitioner,Student Portal,HR Analyst,600000.0,3.0,Mumbai
Kiran Das,S370,B.Tech ECE,"React, Node.js",Digital Marketing,Sales Forecasting,Web Developer,550000.0,4.0,Jaipur
Sneha Patel,S102,B.Tech ECE,"AI, ML, Python",Digital Marketing,Market Analysis,Data Analyst,700000.0,1.0,Pune
Ravi Singh,S132,M.Sc Data Science,"C++, HTML, CSS",Google Data Analytics,Market Analysis,Marketing Executive,,4.0,Ahmedabad
Arjun Rao,S090,M.Tech AI,"C++, HTML, CSS",,E-commerce Website,Cloud Engineer,450000.0,3.0,Kolkata
Arjun Rao,S334,B.Tech CSE,"Python, ML, SQL",Data Science with R,Sales Forecasting,Cloud Engineer,600000.0,4.0,Mumbai
Ravi Singh,S138,BCA,"Management, Excel",Google Data Analytics,Library Management,Software Developer,500000.0,4.0,Remote
Arjun Rao,S212,B.Tech ECE,"C++, HTML, CSS",,Sales Forecasting,Full Stack Developer,350000.0,1.0,Jaipur
Meena Rani,S082,BCA,"Python, Excel",Java Foundations,Customer Retention,Data Analyst,350000.0,1.0,Ahmedabad
Rahul Verma,S141,M.Sc Data Science,"AI, ML, Python",,E-commerce Website,Data Scientist,700000.0,1.0,Delhi
Meena Rani,S372,M.Tech AI,,Excel Basics,Library Management,AI Engineer,350000.0,,Delhi
Ravi Singh,S019,B.Tech ECE,"C++, HTML, CSS",Python for Everyone,Web Scraper,Data Analyst,800000.0,4.0,Mumbai
Priya Sharma,S324,MBA,"AI, ML, Python",Java Foundations,Sales Forecasting,AI Engineer,350000.0,2.0,Delhi
Ravi Singh,S483,BCA,"Python, ML, SQL",Google Data Analytics,Customer Retention,Data Scientist,700000.0,2.0,Pune
Ankit Mehta,S159,MBA,"React, Node.js",Google Data Analytics,HR Automation,HR Analyst,450000.0,3.0,Delhi
Neha Gupta,S016,B.Tech CSE,"React, Node.js",,E-commerce Website,Data Scientist,350000.0,1.0,Kolkata
Ravi Singh,S335,M.Tech AI,"Marketing, Sales",Digital Marketing,Sales Forecasting,Business Analyst,350000.0,0.0,Jaipur
Arjun Rao,S040,MBA,"React, Node.js",AWS Cloud Practitioner,E-commerce Website,Business Analyst,,1.0,Mumbai
Rahul Verma,S055,BCA,"Python, Excel",Google Data Analytics,Web Scraper,HR Analyst,900000.0,4.0,Remote
Ravi Singh,S348,MBA,"Data Analytics, Power BI",Digital Marketing,Customer Retention,Marketing Executive,700000.0,2.0,Mumbai
Meena Rani,S047,MCA,"Python, ML, SQL",Leadership Basics,E-commerce Website,Marketing Executive,550000.0,0.0,Remote
Ankit Mehta,S094,BBA,"React, Node.js",Python for Everyone,AI Chatbot,Marketing Executive,600000.0,4.0,Pune
Priya Sharma,S479,BCA,"Data Analytics, Power BI",Excel Basics,HR Automation,Web Developer,400000.0,2.0,Mumbai
Arjun Rao,S364,MCA,"C++, HTML, CSS",Python for Everyone,Library Management,AI Engineer,600000.0,,Pune
Kiran Das,S494,BCA,"Data Analytics, Power BI",Google Data Analytics,Customer Retention,Web Developer,900000.0,,Bangalore
Ravi Singh,S474,MBA,"Data Analytics, Power BI",Leadership Basics,Library Management,Web Developer,550000.0,,Jaipur
Rahul Verma,S249,B.Tech CSE,"Marketing, Sales",Google Data Analytics,Customer Retention,AI Engineer,,2.0,Remote
Kiran Das,S006,BBA,"Java, Spring",Data Science with R,Data Dashboard,Marketing Executive,600000.0,4.0,Mumbai
Neha Gupta,S490,M.Tech AI,"Marketing, Sales",,Market Analysis,Full Stack Developer,400000.0,,Remote
Sneha Patel,S445,B.Tech CSE,"C++, HTML, CSS",Digital Marketing,Customer Retention,Software Developer,400000.0,3.0,Hyderabad
Ravi Singh,S366,M.Tech AI,"Python, Excel",Data Science with R,Student Portal,Data Scientist,600000.0,3.0,
Ravi Singh,S205,BBA,"Python, Excel",Leadership Basics,Web Scraper,HR Analyst,,2.0,Jaipur
Priya Sharma,S336,B.Com,,Java Foundations,Web Scraper,Data Analyst,600000.0,1.0,Delhi
Arjun Rao,S358,B.Tech CSE,"Python, ML, SQL",Google Data Analytics,Sales Forecasting,Full Stack Developer,700000.0,4.0,Pune
Arjun Rao,S362,BBA,"Management, Excel",Azure Fundamentals,Web Scraper,Data Analyst,550000.0,0.0,Pune
Ankit Mehta,S311,B.Com,"Data Analytics, Power BI",Azure Fundamentals,E-commerce Website,Software Developer,400000.0,,Remote
Arjun Rao,S399,M.Sc Data Science,"Data Analytics, Power BI",Leadership Basics,Library Management,Data Analyst,500000.0,1.0,Chennai
Sneha Patel,S070,,"Cloud, DevOps",,Data Dashboard,Full Stack Developer,800000.0,0.0,Remote
Kiran Das,S262,BCA,"React, Node.js",Google Data Analytics,HR Automation,Data Scientist,550000.0,1.0,Bangalore
Ankit Mehta,S031,B.Sc IT,"Marketing, Sales",Digital Marketing,Web Scraper,Data Scientist,600000.0,,Ahmedabad
Neha Gupta,S438,,"AI, ML, Python",,HR Automation,Full Stack Developer,450000.0,0.0,Pune
Ankit Mehta,S183,BBA,"Python, ML, SQL",Leadership Basics,Market Analysis,Data Scientist,600000.0,3.0,Delhi
Rahul Verma,S125,MBA,"Marketing, Sales",Leadership Basics,Library Management,Data Scientist,400000.0,0.0,Delhi
Amit Kumar,S394,MCA,"Marketing, Sales",,AI Chatbot,Software Developer,,0.0,Delhi
Rahul Verma,S226,M.Tech AI,"C++, HTML, CSS",AI Certification,Customer Retention,Data Analyst,,4.0,Pune
Arjun Rao,S236,M.Tech AI,"React, Node.js",AI Certification,,Full Stack Developer,350000.0,,Hyderabad
Amit Kumar,S177,B.Tech ECE,"Cloud, DevOps",Python for Everyone,,Marketing Executive,,2.0,
Ankit Mehta,S188,BCA,"Python, Excel",Azure Fundamentals,Market Analysis,Data Scientist,350000.0,4.0,Kolkata
Neha Gupta,S306,BCA,"C++, HTML, CSS",,Student Portal,AI Engineer,550000.0,,Kolkata
Ravi Singh,S500,MBA,"Marketing, Sales",Leadership Basics,Market Analysis,Software Developer,550000.0,0.0,Remote
Meena Rani,S384,M.Sc Data Science,"AI, ML, Python",Digital Marketing,HR Automation,AI Engineer,550000.0,3.0,Remote
Ravi Singh,S275,BCA,"Data Analytics, Power BI",AWS Cloud Practitioner,Market Analysis,Software Developer,,2.0,Ahmedabad
Ankit Mehta,S313,B.Com,"Java, Spring",Google Data Analytics,E-commerce Website,HR Analyst,600000.0,1.0,Delhi
Priya Sharma,S368,B.Tech ECE,"Java, Spring",Data Science with R,Sales Forecasting,Marketing Executive,500000.0,3.0,Remote
Meena Rani,S322,MBA,"Data Analytics, Power BI",,Customer Retention,Full Stack Developer,700000.0,1.0,Pune
Kiran Das,S473,MCA,"AI, ML, Python",AWS Cloud Practitioner,Market Analysis,Web Developer,350000.0,0.0,Pune
Sneha Patel,S020,B.Com,"Data Analytics, Power BI",AWS Cloud Practitioner,AI Chatbot,Business Analyst,800000.0,4.0,
Kiran Das,S381,BCA,"React, Node.js",Python for Everyone,,Business Analyst,400000.0,4.0,Jaipur
Arjun Rao,S057,B.Sc IT,"Data Analytics, Power BI",AI Certification,AI Chatbot,AI Engineer,700000.0,2.0,Bangalore
Neha Gupta,S391,M.Sc Data Science,"Data Analytics, Power BI",Leadership Basics,HR Automation,Web Developer,400000.0,2.0,Pune
Arjun Rao,S282,B.Tech ECE,"Python, Excel",Java Foundations,AI Chatbot,Full Stack Developer,350000.0,,Bangalore
Ravi Singh,S396,MCA,"Python, Excel",Data Science with R,HR Automation,Marketing Executive,450000.0,3.0,Pune
Priya Sharma,S472,B.Tech CSE,"Python, ML, SQL",Java Foundations,AI Chatbot,Business Analyst,900000.0,3.0,Kolkata
Arjun Rao,S258,B.Tech CSE,"Python, Excel",Digital Marketing,Sales Forecasting,Web Developer,900000.0,,Pune
Sneha Patel,S489,MCA,"Marketing, Sales",AWS Cloud Practitioner,Sales Forecasting,Web Developer,350000.0,1.0,Pune
Sneha Patel,S193,MBA,"Python, ML, SQL",Data Science with R,Web Scraper,Data Scientist,800000.0,3.0,Delhi
Ravi Singh,S026,B.Tech ECE,"React, Node.js",Azure Fundamentals,Data Dashboard,Cloud Engineer,500000.0,4.0,Remote
Arjun Rao,S291,M.Tech AI,"Java, Spring",,E-commerce Website,HR Analyst,700000.0,1.0,Kolkata
Ankit Mehta,S043,M.Sc Data Science,"Data Analytics, Power BI",Digital Marketing,Sales Forecasting,Business Analyst,700000.0,4.0,Remote
Neha Gupta,S350,MCA,"Marketing, Sales",AI Certification,Data Dashboard,AI Engineer,400000.0,1.0,Chennai
Arjun Rao,S357,BCA,"Marketing, Sales",,AI Chatbot,Data Analyst,700000.0,0.0,Jaipur
Priya Sharma,S470,BBA,,AI Certification,AI Chatbot,Web Developer,450000.0,0.0,Hyderabad
Arjun Rao,S400,MCA,,Data Science with R,Web Scraper,Data Analyst,800000.0,3.0,Hyderabad
Neha Gupta,S319,B.Sc IT,"Java, Spring",Leadership Basics,AI Chatbot,Cloud Engineer,350000.0,,Kolkata
Priya Sharma,S155,MCA,"C++, HTML, CSS",Digital Marketing,E-commerce Website,AI Engineer,700000.0,3.0,Bangalore
Amit Kumar,S127,M.Tech AI,"Java, Spring",Digital Marketing,Sales Forecasting,Data Scientist,700000.0,4.0,Delhi
Ravi Singh,S288,B.Tech ECE,"Java, Spring",,,Cloud Engineer,350000.0,4.0,Mumbai
Rahul Verma,S375,B.Com,"React, Node.js",Data Science with R,Student Portal,Cloud Engineer,500000.0,4.0,Mumbai
Sneha Patel,S175,BCA,"C++, HTML, CSS",Digital Marketing,Sales Forecasting,Cloud Engineer,800000.0,1.0,Pune
Neha Gupta,S032,B.Sc IT,"React, Node.js",Google Data Analytics,E-commerce Website,HR Analyst,700000.0,2.0,
Kiran Das,S114,BBA,"Data Analytics, Power BI",Leadership Basics,Market Analysis,Full Stack Developer,350000.0,2.0,Jaipur
Ankit Mehta,S305,M.Sc Data Science,"Cloud, DevOps",Data Science with R,HR Automation,AI Engineer,700000.0,1.0,Pune
Amit Kumar,S174,,"Java, Spring",Excel Basics,Data Dashboard,Marketing Executive,600000.0,,Kolkata
Kiran Das,S363,B.Tech CSE,"Python, Excel",,Student Portal,Software Developer,450000.0,1.0,Remote
Priya Sharma,S209,B.Com,"Cloud, DevOps",Java Foundations,Market Analysis,Data Scientist,350000.0,4.0,Pune
Rahul Verma,S058,BBA,"Python, ML, SQL",Leadership Basics,Library Management,HR Analyst,600000.0,4.0,Chennai
Amit Kumar,S256,B.Com,"Data Analytics, Power BI",,HR Automation,AI Engineer,800000.0,4.0,Kolkata
Meena Rani,S025,BBA,"Cloud, DevOps",Google Data Analytics,Sales Forecasting,AI Engineer,,1.0,Jaipur
Meena Rani,S018,B.Com,"Java, Spring",Excel Basics,Web Scraper,Software Developer,900000.0,3.0,Jaipur
Neha Gupta,S238,M.Tech AI,"Java, Spring",Excel Basics,Student Portal,Business Analyst,350000.0,,Remote
Ravi Singh,S067,B.Tech ECE,"C++, HTML, CSS",Data Science with R,Market Analysis,Data Analyst,450000.0,3.0,Delhi
Amit Kumar,S250,B.Tech CSE,"Marketing, Sales",Python for Everyone,Library Management,Marketing Executive,350000.0,2.0,Remote
Sneha Patel,S102,B.Tech ECE,"AI, ML, Python",Digital Marketing,Market Analysis,Data Analyst,700000.0,1.0,Pune
Neha Gupta,S266,M.Sc Data Science,"Python, Excel",Google Data Analytics,Sales Forecasting,Data Analyst,600000.0,0.0,Ahmedabad
Ravi Singh,S452,M.Sc Data Science,"Java, Spring",Azure Fundamentals,HR Automation,Web Developer,450000.0,2.0,Pune
Neha Gupta,S447,MBA,"Data Analytics, Power BI",Digital Marketing,Sales Forecasting,Data Analyst,400000.0,1.0,Chennai
Sneha Patel,S095,B.Com,"C++, HTML, CSS",Java Foundations,Library Management,Cloud Engineer,400000.0,1.0,Ahmedabad
Ankit Mehta,S181,BCA,"AI, ML, Python",Data Science with R,Library Management,Software Developer,,1.0,Bangalore
Neha Gupta,S235,MBA,"Cloud, DevOps",Data Science with R,Data Dashboard,Full Stack Developer,,,Jaipur
Kiran Das,S093,B.Tech CSE,"Python, Excel",Python for Everyone,Customer Retention,HR Analyst,350000.0,4.0,Pune
Rahul Verma,S024,B.Com,"C++, HTML, CSS",Java Foundations,E-commerce Website,Web Developer,,1.0,Mumbai
Ankit Mehta,S278,B.Sc IT,"React, Node.js",Azure Fundamentals,AI Chatbot,Data Scientist,900000.0,0.0,Hyderabad
Rahul Verma,S300,B.Tech CSE,"Cloud, DevOps",Excel Basics,Web Scraper,Cloud Engineer,700000.0,3.0,Bangalore
Arjun Rao,S298,BBA,"Cloud, DevOps",Leadership Basics,Web Scraper,Cloud Engineer,400000.0,,Delhi
Kiran Das,S006,BBA,"Java, Spring",Data Science with R,Data Dashboard,Marketing Executive,600000.0,4.0,Mumbai
Amit Kumar,S117,M.Tech AI,"Java, Spring",Java Foundations,Customer Retention,Software Developer,550000.0,0.0,Bangalore
Amit Kumar,S046,B.Tech ECE,"Data Analytics, Power BI",Google Data Analytics,Customer Retention,Marketing Executive,900000.0,4.0,Jaipur
Meena Rani,S229,,"Cloud, DevOps",Google Data Analytics,Library Management,Software Developer,400000.0,3.0,Chennai
Arjun Rao,S317,M.Tech AI,,Google Data Analytics,E-commerce Website,Data Analyst,600000.0,,Ahmedabad
Priya Sharma,S017,M.Sc Data Science,"Data Analytics, Power BI",Azure Fundamentals,AI Chatbot,Marketing Executive,550000.0,,Mumbai
Rahul Verma,S049,MBA,"React, Node.js",Data Science with R,Student Portal,Software Developer,350000.0,1.0,Remote
Arjun Rao,S423,BCA,"React, Node.js",AWS Cloud Practitioner,Customer Retention,Data Analyst,450000.0,2.0,Bangalore
Priya Sharma,S412,M.Sc Data Science,"React, Node.js",Java Foundations,Data Dashboard,HR Analyst,450000.0,2.0,Delhi
Neha Gupta,S004,M.Sc Data Science,"Python, ML, SQL",AWS Cloud Practitioner,Sales Forecasting,Marketing Executive,900000.0,1.0,
Neha Gupta,S273,BCA,"Management, Excel",Google Data Analytics,Customer Retention,HR Analyst,800000.0,4.0,Mumbai
Arjun Rao,S245,B.Sc IT,"Cloud, DevOps",,Web Scraper,Full Stack Developer,500000.0,3.0,Ahmedabad
Priya Sharma,S061,B.Tech ECE,,Python for Everyone,,Full Stack Developer,350000.0,4.0,Chennai
Amit Kumar,S197,B.Com,"AI, ML, Python",Python for Everyone,Library Management,Marketing Executive,,4.0,Remote
Ravi Singh,S335,M.Tech AI,"Marketing, Sales",Digital Marketing,Sales Forecasting,Business Analyst,350000.0,0.0,Jaipur
Sneha Patel,S111,MBA,"Java, Spring",Azure Fundamentals,Web Scraper,HR Analyst,,2.0,Kolkata
Neha Gupta,S458,MCA,"Management, Excel",Python for Everyone,E-commerce Website,Full Stack Developer,800000.0,4.0,Jaipur
Amit Kumar,S302,B.Tech CSE,"Java, Spring",Google Data Analytics,Data Dashboard,AI Engineer,450000.0,0.0,Remote
Ravi Singh,S030,BBA,"Management, Excel",Excel Basics,Student Portal,Data Scientist,,,Ahmedabad
Kiran Das,S246,BBA,"AI, ML, Python",Excel Basics,E-commerce Website,HR Analyst,550000.0,3.0,Remote
Meena Rani,S223,BCA,"Marketing, Sales",,Customer Retention,Data Scientist,,4.0,
Ravi Singh,S027,BBA,"Python, ML, SQL",Excel Basics,,HR Analyst,900000.0,3.0,Bangalore
Neha Gupta,S008,BBA,"Cloud, DevOps",AI Certification,E-commerce Website,Software Developer,800000.0,3.0,Chennai
Kiran Das,S182,B.Com,"Python, Excel",,Market Analysis,Web Developer,450000.0,2.0,Chennai
Amit Kumar,S051,M.Tech AI,"Python, Excel",Excel Basics,Web Scraper,Software Developer,800000.0,3.0,Remote
Priya Sharma,S109,M.Sc Data Science,"AI, ML, Python",Data Science with R,Web Scraper,AI Engineer,800000.0,,Hyderabad
