student_name,student_id,education_qualification,skills,certifications,projects,job_role,salary_expectation,experience_years,location_preference,skill_count,primary_skill,degree_level
Amit Kumar,S105,MBA,"React, Node.js",Digital Marketing,HR Automation,Cloud Engineer,350000.0,1,Mumbai,2.0,React,Masters
Rahul Verma,S010,B.Sc IT,"Java, Spring",Google Data Analytics,,Marketing Executive,500000.0,0,Delhi,2.0,Java,Bachelors
Rahul Verma,S146,MCA,"C++, HTML, CSS",AI Certification,Library Management,AI Engineer,550000.0,3,Pune,3.0,C++,Masters
Priya Sharma,S385,BBA,"Marketing, Sales",Python for Everyone,HR Automation,Full Stack Developer,900000.0,4,Chennai,2.0,Marketing,Other
Kiran Das,S106,BBA,"Python, Excel",Data Science with R,Student Portal,Marketing Executive,550000.0,2,,2.0,Python,Other
Ankit Mehta,S091,BBA,"Data Analytics, Power BI",Leadership Basics,Data Dashboard,Data Analyst,500000.0,4,Mumbai,2.0,Data Analytics,Other
Kiran Das,S079,BBA,"Python, Excel",Excel Basics,AI Chatbot,Business Analyst,700000.0,0,Hyderabad,2.0,Python,Other
Arjun Rao,S496,M.Tech AI,"Management, Excel",Data Science with R,E-commerce Website,Software Developer,900000.0,2,Remote,2.0,Management,Masters
Neha Gupta,S312,BCA,"Python, ML, SQL",Google Data Analytics,E-commerce Website,Data Scientist,800000.0,2,Bangalore,3.0,Python,Bachelors
Neha Gupta,S118,MCA,"AI, ML, Python",AWS Cloud Practitioner,Sales Forecasting,Software Developer,600000.0,2,Mumbai,3.0,Ai,Masters
Neha Gupta,S084,B.Tech ECE,"Data Analytics, Power BI",Python for Everyone,Student Portal,Software Developer,700000.0,2,Remote,2.0,Data Analytics,Bachelors
Rahul Verma,S382,MBA,,Digital Marketing,Customer Retention,Data Scientist,500000.0,4,,,,Masters
Amit Kumar,S156,MCA,"Python, Excel",Digital Marketing,E-commerce Website,Marketing Executive,800000.0,2,Remote,2.0,Python,Masters
Ankit Mehta,S150,M.Sc Data Science,"Marketing, Sales",Azure Fundamentals,Customer Retention,AI Engineer,450000.0,4,Pune,2.0,Marketing,Masters
Priya Sharma,S033,B.Sc IT,"C++, HTML, CSS",Data Science with R,Student Portal,Data Scientist,600000.0,2,Jaipur,3.0,C++,Bachelors
Sneha Patel,S164,M.Tech AI,"Management, Excel",Data Science with R,E-commerce Website,HR Analyst,350000.0,3,Mumbai,2.0,Management,Masters
Kiran Das,S076,B.Sc IT,"Python, ML, SQL",Java Foundations,AI Chatbot,Data Analyst,500000.0,3,Remote,3.0,Python,Bachelors
Meena Rani,S321,BCA,"React, Node.js",Data Science with R,Student Portal,Data Analyst,400000.0,0,Remote,2.0,React,Bachelors
Meena Rani,S230,BCA,"C++, HTML, CSS",Google Data Analytics,E-commerce Website,HR Analyst,550000.0,1,Kolkata,3.0,C++,Bachelors
Sneha Patel,S341,B.Tech ECE,"React, Node.js",Python for Everyone,E-commerce Website,Data Analyst,900000.0,2,Kolkata,2.0,React,Bachelors
Ankit Mehta,S064,B.Tech ECE,"Python, Excel",Digital Marketing,Market Analysis,HR Analyst,500000.0,3,Jaipur,2.0,Python,Bachelors
Rahul Verma,S232,B.Tech CSE,"Java, Spring",Google Data Analytics,Market Analysis,Marketing Executive,350000.0,3,Pune,2.0,Java,Bachelors
Priya Sharma,S495,B.Tech ECE,"Data Analytics, Power BI",Excel Basics,AI Chatbot,Web Developer,400000.0,3,Jaipur,2.0,Data Analytics,Bachelors
Sneha Patel,S466,BBA,"C++, HTML, CSS",,,Web Developer,450000.0,0,Jaipur,3.0,C++,Other
Neha Gupta,S451,M.Sc Data Science,"Data Analytics, Power BI",Excel Basics,Student Portal,Data Scientist,400000.0,4,,2.0,Data Analytics,Masters
Neha Gupta,S242,MCA,"Marketing, Sales",Leadership Basics,,Full Stack Developer,550000.0,3,Kolkata,2.0,Marketing,Masters
Meena Rani,S034,B.Sc IT,"React, Node.js",Leadership Basics,AI Chatbot,Business Analyst,525000.0,2,Mumbai,2.0,React,Bachelors
Neha Gupta,S408,B.Sc IT,"Cloud, DevOps",Digital Marketing,,Software Developer,600000.0,4,Ahmedabad,2.0,Cloud,Bachelors
Priya Sharma,S285,M.Tech AI,"Management, Excel",Google Data Analytics,Data Dashboard,Data Analyst,450000.0,1,Delhi,2.0,Management,Masters
Sneha Patel,S001,M.Sc Data Science,"React, Node.js",AWS Cloud Practitioner,Sales Forecasting,Marketing Executive,450000.0,1,Remote,2.0,React,Masters
Amit Kumar,S012,B.Com,"C++, HTML, CSS",Java Foundations,Library Management,AI Engineer,500000.0,3,Kolkata,3.0,C++,Bachelors
Rahul Verma,S276,BBA,"Python, Excel",Java Foundations,,Business Analyst,700000.0,3,Pune,2.0,Python,Other
Neha Gupta,S023,BCA,"C++, HTML, CSS",AWS Cloud Practitioner,Student Portal,HR Analyst,600000.0,3,Mumbai,3.0,C++,Bachelors
Kiran Das,S370,B.Tech ECE,"React, Node.js",Digital Marketing,Sales Forecasting,Web Developer,550000.0,4,Jaipur,2.0,React,Bachelors
Sneha Patel,S102,B.Tech ECE,"AI, ML, Python",Digital Marketing,Market Analysis,Data Analyst,700000.0,1,Pune,3.0,Ai,Bachelors
Ravi Singh,S132,M.Sc Data Science,"C++, HTML, CSS",Google Data Analytics,Market Analysis,Marketing Executive,550000.0,4,Ahmedabad,3.0,C++,Masters
Arjun Rao,S090,M.Tech AI,"C++, HTML, CSS",,E-commerce Website,Cloud Engineer,450000.0,3,Kolkata,3.0,C++,Masters
Arjun Rao,S334,B.Tech CSE,"Python, ML, SQL",Data Science with R,Sales Forecasting,Cloud Engineer,600000.0,4,Mumbai,3.0,Python,Bachelors
Ravi Singh,S138,BCA,"Management, Excel",Google Data Analytics,Library Management,Software Developer,500000.0,4,Remote,2.0,Management,Bachelors
Arjun Rao,S212,B.Tech ECE,"C++, HTML, CSS",,Sales Forecasting,Full Stack Developer,350000.0,1,Jaipur,3.0,C++,Bachelors
Rahul Verma,S141,M.Sc Data Science,"AI, ML, Python",,E-commerce Website,Data Scientist,700000.0,1,Delhi,3.0,Ai,Masters
Meena Rani,S372,M.Tech AI,,Excel Basics,Library Management,AI Engineer,350000.0,2,Delhi,,,Masters
Ravi Singh,S019,B.Tech ECE,"C++, HTML, CSS",Python for Everyone,Web Scraper,Data Analyst,800000.0,4,Mumbai,3.0,C++,Bachelors
Priya Sharma,S324,MBA,"AI, ML, Python",Java Foundations,Sales Forecasting,AI Engineer,350000.0,2,Delhi,3.0,Ai,Masters
Ravi Singh,S483,BCA,"Python, ML, SQL",Google Data Analytics,Customer Retention,Data Scientist,700000.0,2,Pune,3.0,Python,Bachelors
Ankit Mehta,S159,MBA,"React, Node.js",Google Data Analytics,HR Automation,HR Analyst,450000.0,3,Delhi,2.0,React,Masters
Neha Gupta,S016,B.Tech CSE,"React, Node.js",,E-commerce Website,Data Scientist,350000.0,1,Kolkata,2.0,React,Bachelors
Ravi Singh,S335,M.Tech AI,"Marketing, Sales",Digital Marketing,Sales Forecasting,Business Analyst,350000.0,0,Jaipur,2.0,Marketing,Masters
Arjun Rao,S040,MBA,"React, Node.js",AWS Cloud Practitioner,E-commerce Website,Business Analyst,525000.0,1,Mumbai,2.0,React,Masters
Rahul Verma,S055,BCA,"Python, Excel",Google Data Analytics,Web Scraper,HR Analyst,900000.0,4,Remote,2.0,Python,Bachelors
Ravi Singh,S348,MBA,"Data Analytics, Power BI",Digital Marketing,Customer Retention,Marketing Executive,700000.0,2,Mumbai,2.0,Data Analytics,Masters
Meena Rani,S047,MCA,"Python, ML, SQL",Leadership Basics,E-commerce Website,Marketing Executive,550000.0,0,Remote,3.0,Python,Masters
Ankit Mehta,S094,BBA,"React, Node.js",Python for Everyone,AI Chatbot,Marketing Executive,600000.0,4,Pune,2.0,React,Other
Priya Sharma,S479,BCA,"Data Analytics, Power BI",Excel Basics,HR Automation,Web Developer,400000.0,2,Mumbai,2.0,Data Analytics,Bachelors
Arjun Rao,S364,MCA,"C++, HTML, CSS",Python for Everyone,Library Management,AI Engineer,600000.0,2,Pune,3.0,C++,Masters
Kiran Das,S494,BCA,"Data Analytics, Power BI",Google Data Analytics,Customer Retention,Web Developer,900000.0,2,Bangalore,2.0,Data Analytics,Bachelors
Ravi Singh,S474,MBA,"Data Analytics, Power BI",Leadership Basics,Library Management,Web Developer,550000.0,2,Jaipur,2.0,Data Analytics,Masters
Rahul Verma,S249,B.Tech CSE,"Marketing, Sales",Google Data Analytics,Customer Retention,AI Engineer,600000.0,2,Remote,2.0,Marketing,Bachelors
Kiran Das,S006,BBA,"Java, Spring",Data Science with R,Data Dashboard,Marketing Executive,600000.0,4,Mumbai,2.0,Java,Other
Neha Gupta,S490,M.Tech AI,"Marketing, Sales",,Market Analysis,Full Stack Developer,400000.0,2,Remote,2.0,Marketing,Masters
Sneha Patel,S445,B.Tech CSE,"C++, HTML, CSS",Digital Marketing,Customer Retention,Software Developer,400000.0,3,Hyderabad,3.0,C++,Bachelors
Ravi Singh,S366,M.Tech AI,"Python, Excel",Data Science with R,Student Portal,Data Scientist,600000.0,3,,2.0,Python,Masters
Ravi Singh,S205,BBA,"Python, Excel",Leadership Basics,Web Scraper,HR Analyst,550000.0,2,Jaipur,2.0,Python,Other
Priya Sharma,S336,B.Com,,Java Foundations,Web Scraper,Data Analyst,600000.0,1,Delhi,,,Bachelors
Arjun Rao,S358,B.Tech CSE,"Python, ML, SQL",Google Data Analytics,Sales Forecasting,Full Stack Developer,700000.0,4,Pune,3.0,Python,Bachelors
Arjun Rao,S362,BBA,"Management, Excel",Azure Fundamentals,Web Scraper,Data Analyst,550000.0,0,Pune,2.0,Management,Other
Ankit Mehta,S311,B.Com,"Data Analytics, Power BI",Azure Fundamentals,E-commerce Website,Software Developer,400000.0,1,Remote,2.0,Data Analytics,Bachelors
Arjun Rao,S399,M.Sc Data Science,"Data Analytics, Power BI",Leadership Basics,Library Management,Data Analyst,500000.0,1,Chennai,2.0,Data Analytics,Masters
Sneha Patel,S070,,"Cloud, DevOps",,Data Dashboard,Full Stack Developer,800000.0,0,Remote,2.0,Cloud,
Kiran Das,S262,BCA,"React, Node.js",Google Data Analytics,HR Automation,Data Scientist,550000.0,1,Bangalore,2.0,React,Bachelors
Neha Gupta,S438,,"AI, ML, Python",,HR Automation,Full Stack Developer,450000.0,0,Pune,3.0,Ai,
Ankit Mehta,S183,BBA,"Python, ML, SQL",Leadership Basics,Market Analysis,Data Scientist,600000.0,3,Delhi,3.0,Python,Other
Amit Kumar,S394,MCA,"Marketing, Sales",,AI Chatbot,Software Developer,600000.0,0,Delhi,2.0,Marketing,Masters
Rahul Verma,S226,M.Tech AI,"C++, HTML, CSS",AI Certification,Customer Retention,Data Analyst,550000.0,4,Pune,3.0,C++,Masters
Arjun Rao,S236,M.Tech AI,"React, Node.js",AI Certification,,Full Stack Developer,350000.0,2,Hyderabad,2.0,React,Masters
Amit Kumar,S177,B.Tech ECE,"Cloud, DevOps",Python for Everyone,,Marketing Executive,550000.0,2,,2.0,Cloud,Bachelors
Ankit Mehta,S188,BCA,"Python, Excel",Azure Fundamentals,Market Analysis,Data Scientist,350000.0,4,Kolkata,2.0,Python,Bachelors
Neha Gupta,S306,BCA,"C++, HTML, CSS",,Student Portal,AI Engineer,550000.0,2,Kolkata,3.0,C++,Bachelors
Ravi Singh,S500,MBA,"Marketing, Sales",Leadership Basics,Market Analysis,Software Developer,550000.0,0,Remote,2.0,Marketing,Masters
Meena Rani,S384,M.Sc Data Science,"AI, ML, Python",Digital Marketing,HR Automation,AI Engineer,550000.0,3,Remote,3.0,Ai,Masters
Ravi Singh,S275,BCA,"Data Analytics, Power BI",AWS Cloud Practitioner,Market Analysis,Software Developer,600000.0,2,Ahmedabad,2.0,Data Analytics,Bachelors
Ankit Mehta,S313,B.Com,"Java, Spring",Google Data Analytics,E-commerce Website,HR Analyst,600000.0,1,Delhi,2.0,Java,Bachelors
Priya Sharma,S368,B.Tech ECE,"Java, Spring",Data Science with R,Sales Forecasting,Marketing Executive,500000.0,3,Remote,2.0,Java,Bachelors
Meena Rani,S322,MBA,"Data Analytics, Power BI",,Customer Retention,Full Stack Developer,700000.0,1,Pune,2.0,Data Analytics,Masters
Kiran Das,S473,MCA,"AI, ML, Python",AWS Cloud Practitioner,Market Analysis,Web Developer,350000.0,0,Pune,3.0,Ai,Masters
Sneha Patel,S020,B.Com,"Data Analytics, Power BI",AWS Cloud Practitioner,AI Chatbot,Business Analyst,800000.0,4,,2.0,Data Analytics,Bachelors
Kiran Das,S381,BCA,"React, Node.js",Python for Everyone,,Business Analyst,400000.0,4,Jaipur,2.0,React,Bachelors
Arjun Rao,S057,B.Sc IT,"Data Analytics, Power BI",AI Certification,AI Chatbot,AI Engineer,700000.0,2,Bangalore,2.0,Data Analytics,Bachelors
Neha Gupta,S391,M.Sc Data Science,"Data Analytics, Power BI",Leadership Basics,HR Automation,Web Developer,400000.0,2,Pune,2.0,Data Analytics,Masters
Arjun Rao,S282,B.Tech ECE,"Python, Excel",Java Foundations,AI Chatbot,Full Stack Developer,350000.0,2,Bangalore,2.0,Python,Bachelors
Ravi Singh,S396,MCA,"Python, Excel",Data Science with R,HR Automation,Marketing Executive,450000.0,3,Pune,2.0,Python,Masters
Priya Sharma,S472,B.Tech CSE,"Python, ML, SQL",Java Foundations,AI Chatbot,Business Analyst,900000.0,3,Kolkata,3.0,Python,Bachelors
Arjun Rao,S258,B.Tech CSE,"Python, Excel",Digital Marketing,Sales Forecasting,Web Developer,900000.0,2,Pune,2.0,Python,Bachelors
Sneha Patel,S489,MCA,"Marketing, Sales",AWS Cloud Practitioner,Sales Forecasting,Web Developer,350000.0,1,Pune,2.0,Marketing,Masters
Sneha Patel,S193,MBA,"Python, ML, SQL",Data Science with R,Web Scraper,Data Scientist,800000.0,3,Delhi,3.0,Python,Masters
Ravi Singh,S026,B.Tech ECE,"React, Node.js",Azure Fundamentals,Data Dashboard,Cloud Engineer,500000.0,4,Remote,2.0,React,Bachelors
Arjun Rao,S291,M.Tech AI,"Java, Spring",,E-commerce Website,HR Analyst,700000.0,1,Kolkata,2.0,Java,Masters
Ankit Mehta,S043,M.Sc Data Science,"Data Analytics, Power BI",Digital Marketing,Sales Forecasting,Business Analyst,700000.0,4,Remote,2.0,Data Analytics,Masters
Neha Gupta,S350,MCA,"Marketing, Sales",AI Certification,Data Dashboard,AI Engineer,400000.0,1,Chennai,2.0,Marketing,Masters
Arjun Rao,S357,BCA,"Marketing, Sales",,AI Chatbot,Data Analyst,700000.0,0,Jaipur,2.0,Marketing,Bachelors
Priya Sharma,S470,BBA,,AI Certification,AI Chatbot,Web Developer,450000.0,0,Hyderabad,,,Other
Arjun Rao,S400,MCA,,Data Science with R,Web Scraper,Data Analyst,800000.0,3,Hyderabad,,,Masters
Neha Gupta,S319,B.Sc IT,"Java, Spring",Leadership Basics,AI Chatbot,Cloud Engineer,350000.0,2,Kolkata,2.0,Java,Bachelors
Priya Sharma,S155,MCA,"C++, HTML, CSS",Digital Marketing,E-commerce Website,AI Engineer,700000.0,3,Bangalore,3.0,C++,Masters
Amit Kumar,S127,M.Tech AI,"Java, Spring",Digital Marketing,Sales Forecasting,Data Scientist,700000.0,4,Delhi,2.0,Java,Masters
Ravi Singh,S288,B.Tech ECE,"Java, Spring",,,Cloud Engineer,350000.0,4,Mumbai,2.0,Java,Bachelors
Rahul Verma,S375,B.Com,"React, Node.js",Data Science with R,Student Portal,Cloud Engineer,500000.0,4,Mumbai,2.0,React,Bachelors
Sneha Patel,S175,BCA,"C++, HTML, CSS",Digital Marketing,Sales Forecasting,Cloud Engineer,800000.0,1,Pune,3.0,C++,Bachelors
Neha Gupta,S032,B.Sc IT,"React, Node.js",Google Data Analytics,E-commerce Website,HR Analyst,700000.0,2,,2.0,React,Bachelors
Kiran Das,S114,BBA,"Data Analytics, Power BI",Leadership Basics,Market Analysis,Full Stack Developer,350000.0,2,Jaipur,2.0,Data Analytics,Other
Ankit Mehta,S305,M.Sc Data Science,"Cloud, DevOps",Data Science with R,HR Automation,AI Engineer,700000.0,1,Pune,2.0,Cloud,Masters
Amit Kumar,S174,,"Java, Spring",Excel Basics,Data Dashboard,Marketing Executive,600000.0,2,Kolkata,2.0,Java,
Kiran Das,S363,B.Tech CSE,"Python, Excel",,Student Portal,Software Developer,450000.0,1,Remote,2.0,Python,Bachelors
Priya Sharma,S209,B.Com,"Cloud, DevOps",Java Foundations,Market Analysis,Data Scientist,350000.0,4,Pune,2.0,Cloud,Bachelors
Rahul Verma,S058,BBA,"Python, ML, SQL",Leadership Basics,Library Management,HR Analyst,600000.0,4,Chennai,3.0,Python,Other
Amit Kumar,S256,B.Com,"Data Analytics, Power BI",,HR Automation,AI Engineer,800000.0,4,Kolkata,2.0,Data Analytics,Bachelors
Meena Rani,S025,BBA,"Cloud, DevOps",Google Data Analytics,Sales Forecasting,AI Engineer,600000.0,1,Jaipur,2.0,Cloud,Other
Meena Rani,S018,B.Com,"Java, Spring",Excel Basics,Web Scraper,Software Developer,900000.0,3,Jaipur,2.0,Java,Bachelors
Neha Gupta,S238,M.Tech AI,"Java, Spring",Excel Basics,Student Portal,Business Analyst,350000.0,2,Remote,2.0,Java,Masters
Ravi Singh,S067,B.Tech ECE,"C++, HTML, CSS",Data Science with R,Market Analysis,Data Analyst,450000.0,3,Delhi,3.0,C++,Bachelors
Amit Kumar,S250,B.Tech CSE,"Marketing, Sales",Python for Everyone,Library Management,Marketing Executive,350000.0,2,Remote,2.0,Marketing,Bachelors
Neha Gupta,S266,M.Sc Data Science,"Python, Excel",Google Data Analytics,Sales Forecasting,Data Analyst,600000.0,0,Ahmedabad,2.0,Python,Masters
Ravi Singh,S452,M.Sc Data Science,"Java, Spring",Azure Fundamentals,HR Automation,Web Developer,450000.0,2,Pune,2.0,Java,Masters
Neha Gupta,S447,MBA,"Data Analytics, Power BI",Digital Marketing,Sales Forecasting,Data Analyst,400000.0,1,Chennai,2.0,Data Analytics,Masters
Sneha Patel,S095,B.Com,"C++, HTML, CSS",Java Foundations,Library Management,Cloud Engineer,400000.0,1,Ahmedabad,3.0,C++,Bachelors
Ankit Mehta,S181,BCA,"AI, ML, Python",Data Science with R,Library Management,Software Developer,600000.0,1,Bangalore,3.0,Ai,Bachelors
Neha Gupta,S235,MBA,"Cloud, DevOps",Data Science with R,Data Dashboard,Full Stack Developer,475000.0,2,Jaipur,2.0,Cloud,Masters
Kiran Das,S093,B.Tech CSE,"Python, Excel",Python for Everyone,Customer Retention,HR Analyst,350000.0,4,Pune,2.0,Python,Bachelors
Rahul Verma,S024,B.Com,"C++, HTML, CSS",Java Foundations,E-commerce Website,Web Developer,450000.0,1,Mumbai,3.0,C++,Bachelors
